unified_id,method,perturbation_count,target_in@1,target_in@3,target_in@5,target_in@10,best_rank_any_perturb,worst_rank_any_perturb,jaccard_top10_across_perturbs,mean_latency_ms
UNI-99A73FDAE7A6,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,1245.4
UNI-2DF53BFE8C2E,Dense_Only,5,0,0,0,0,,,0.6666666666666666,37.6
UNI-2DF53BFE8C2E,BM25_Only,5,0,0,0,0,,,1.0,557.5
UNI-2DF53BFE8C2E,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,634.7
UNI-F614B3E3B740,Dense_Only,5,0,0,0,0,,,0.4285714285714285,38.2
UNI-F614B3E3B740,BM25_Only,5,0,0,0,0,,,0.8181818181818182,1029.0
UNI-F614B3E3B740,Hybrid_NoRerank,5,0,0,0,0,,,0.3125,1027.6
UNI-94FBBF660187,Dense_Only,5,0,0,0,0,,,0.8181818181818182,38.7
UNI-94FBBF660187,BM25_Only,5,0,0,0,0,,,1.0,880.8
UNI-94FBBF660187,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,1136.7
UNI-98C638E9DBE1,Dense_Only,5,0,0,0,0,,,0.1666666666666666,37.9
UNI-98C638E9DBE1,BM25_Only,5,0,0,0,0,,,1.0,715.0
UNI-98C638E9DBE1,Hybrid_NoRerank,5,0,0,0,0,,,0.15,773.5
UNI-3DDC9FFC3D96,Dense_Only,5,0,0,0,0,,,0.5384615384615384,39.3
UNI-3DDC9FFC3D96,BM25_Only,5,0,0,0,0,,,1.0,1197.7
UNI-3DDC9FFC3D96,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,1105.1
UNI-512615FA775B,Dense_Only,5,0,0,0,0,,,0.6666666666666666,45.4
UNI-512615FA775B,BM25_Only,5,0,0,0,0,,,1.0,660.3
UNI-512615FA775B,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,910.2
UNI-074213528BCA,Dense_Only,5,0,0,0,0,,,0.5384615384615384,39.2
UNI-074213528BCA,BM25_Only,5,0,0,0,0,,,1.0,799.6
UNI-074213528BCA,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,779.1
UNI-B80CE4B6DF53,Dense_Only,5,0,0,0,0,,,0.7272727272727273,38.2
UNI-B80CE4B6DF53,BM25_Only,5,0,0,0,0,,,1.0,1036.4
UNI-B80CE4B6DF53,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,844.6
UNI-A24AAB36035E,Dense_Only,5,0,0,0,0,,,1.0,37.4
UNI-A24AAB36035E,BM25_Only,5,0,0,0,0,,,1.0,848.6
UNI-A24AAB36035E,Hybrid_NoRerank,5,0,0,0,0,,,0.6363636363636364,1117.8
UNI-F7CDF6B5924B,Dense_Only,5,0,0,0,0,,,0.8181818181818182,37.4
UNI-F7CDF6B5924B,BM25_Only,5,0,0,0,0,,,1.0,980.0
UNI-F7CDF6B5924B,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,1192.7
UNI-95FB15AEA89A,Dense_Only,5,0,0,0,0,,,0.6666666666666666,61.5
UNI-95FB15AEA89A,BM25_Only,5,0,0,0,0,,,1.0,715.8
UNI-95FB15AEA89A,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,737.9
UNI-9D87172AEED9,Dense_Only,5,0,0,0,0,,,1.0,37.7
UNI-9D87172AEED9,BM25_Only,5,0,0,0,0,,,0.8181818181818182,950.8
UNI-9D87172AEED9,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,992.8
UNI-98B228E8E4A0,Dense_Only,5,0,0,0,0,,,0.5384615384615384,38.8
UNI-98B228E8E4A0,BM25_Only,5,0,0,0,0,,,1.0,739.6
UNI-98B228E8E4A0,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,851.2
UNI-F32CA2861E52,Dense_Only,5,0,0,0,0,,,0.5833333333333334,48.4
UNI-F32CA2861E52,BM25_Only,5,0,0,0,0,,,1.0,1046.0
UNI-F32CA2861E52,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,975.3
UNI-95B02A9EEC29,Dense_Only,5,0,0,0,0,,,0.6923076923076923,37.7
UNI-95B02A9EEC29,BM25_Only,5,0,0,0,0,,,1.0,1046.8
UNI-95B02A9EEC29,Hybrid_NoRerank,5,0,0,0,0,,,0.75,942.2
UNI-9C34FFE60795,Dense_Only,5,0,0,0,0,,,0.0526315789473684,38.4
UNI-9C34FFE60795,BM25_Only,5,0,0,0,0,,,1.0,822.0
UNI-9C34FFE60795,Hybrid_NoRerank,5,0,0,0,0,,,0.1,1071.7
UNI-F35E2E8CC4CF,Dense_Only,5,0,0,0,0,,,1.0,37.8
UNI-F35E2E8CC4CF,BM25_Only,5,0,0,0,0,,,0.8181818181818182,941.7
UNI-F35E2E8CC4CF,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,1040.1
UNI-99E048327EC5,Dense_Only,5,0,0,0,0,,,0.4375,46.9
UNI-99E048327EC5,BM25_Only,5,0,0,0,0,,,1.0,957.4
UNI-99E048327EC5,Hybrid_NoRerank,5,0,0,0,0,,,0.3333333333333333,895.1
UNI-567AEE40F507,Dense_Only,5,0,0,0,0,,,0.75,39.6
UNI-567AEE40F507,BM25_Only,5,0,0,0,0,,,1.0,1104.1
UNI-567AEE40F507,Hybrid_NoRerank,5,0,0,0,0,,,0.75,1102.4
UNI-64F3FA708C30,Dense_Only,5,0,0,0,0,,,0.75,39.3
UNI-64F3FA708C30,BM25_Only,5,0,0,0,0,,,0.8181818181818182,901.3
UNI-64F3FA708C30,Hybrid_NoRerank,5,0,0,0,0,,,1.0,1111.1
UNI-6AA1E70EC8B9,Dense_Only,5,0,0,0,0,,,0.75,39.5
UNI-6AA1E70EC8B9,BM25_Only,5,0,0,0,0,,,0.8181818181818182,765.6
UNI-6AA1E70EC8B9,Hybrid_NoRerank,5,0,0,0,0,,,0.5833333333333334,799.9
UNI-BAAAC1B8AFBD,Dense_Only,5,0,0,0,0,,,0.7272727272727273,40.5
UNI-BAAAC1B8AFBD,BM25_Only,5,0,0,0,0,,,1.0,976.9
UNI-BAAAC1B8AFBD,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,821.9
UNI-3BA8228FE88E,Dense_Only,5,0,0,0,0,,,0.8181818181818182,37.3
UNI-3BA8228FE88E,BM25_Only,5,0,0,0,0,,,0.8181818181818182,866.3
UNI-3BA8228FE88E,Hybrid_NoRerank,5,0,0,0,0,,,0.5833333333333334,1119.3
UNI-EC01E430B602,Dense_Only,5,0,0,0,0,,,0.6153846153846154,38.1
UNI-EC01E430B602,BM25_Only,5,0,0,0,0,,,0.8181818181818182,903.0
UNI-EC01E430B602,Hybrid_NoRerank,5,0,0,0,0,,,0.6153846153846154,1018.2
UNI-C048120C158C,Dense_Only,5,0,0,0,0,,,0.5384615384615384,49.1
UNI-C048120C158C,BM25_Only,5,0,0,0,0,,,0.8181818181818182,944.4
UNI-C048120C158C,Hybrid_NoRerank,5,0,0,0,0,,,1.0,887.8
UNI-3B3796AB9003,Dense_Only,5,0,0,0,0,,,0.7272727272727273,43.5
UNI-3B3796AB9003,BM25_Only,5,0,0,0,0,,,1.0,999.3
UNI-3B3796AB9003,Hybrid_NoRerank,5,0,0,0,0,,,0.75,930.0
UNI-1468D5BD4D80,Dense_Only,5,0,0,0,0,,,0.0,42.0
